method,parameter,output,
FangraphsDataTable.fetch,CT%,TRUE,float
FangraphsDataTable.fetch,CTv,TRUE,float
FangraphsDataTable.fetch,CB%,TRUE,float
FangraphsDataTable.fetch,CBv,TRUE,float
FangraphsDataTable.fetch,CH%,TRUE,float
FangraphsDataTable.fetch,CHv,TRUE,float
FangraphsDataTable.fetch,SF%,TRUE,float
FangraphsDataTable.fetch,SFv,TRUE,float
FangraphsDataTable.fetch,KN%,TRUE,float
FangraphsDataTable.fetch,KNv,TRUE,float
FangraphsDataTable.fetch,XX%,TRUE,float
FangraphsDataTable.fetch,PO%,TRUE,float
FangraphsDataTable.fetch,wFB,TRUE,float
FangraphsDataTable.fetch,wSL,TRUE,float
FangraphsDataTable.fetch,wCT,TRUE,float
FangraphsDataTable.fetch,wCB,TRUE,float
FangraphsDataTable.fetch,wCH,TRUE,float
FangraphsDataTable.fetch,wSF,TRUE,float
FangraphsDataTable.fetch,wKN,TRUE,float
FangraphsDataTable.fetch,wFB/C,TRUE,float
FangraphsDataTable.fetch,wSL/C,TRUE,float
FangraphsDataTable.fetch,wCT/C,TRUE,float
FangraphsDataTable.fetch,wCB/C,TRUE,float
FangraphsDataTable.fetch,wCH/C,TRUE,float
FangraphsDataTable.fetch,wSF/C,TRUE,float
FangraphsDataTable.fetch,wKN/C,TRUE,float
FangraphsDataTable.fetch,O-Swing%,TRUE,float
FangraphsDataTable.fetch,Z-Swing%,TRUE,float
FangraphsDataTable.fetch,Swing%,TRUE,float
FangraphsDataTable.fetch,O-Contact%,TRUE,float
FangraphsDataTable.fetch,Z-Contact%,TRUE,float
FangraphsDataTable.fetch,Contact%,TRUE,float
FangraphsDataTable.fetch,Zone%,TRUE,float
FangraphsDataTable.fetch,F-Strike%,TRUE,float
FangraphsDataTable.fetch,SwStr%,TRUE,float
FangraphsDataTable.fetch,HLD,TRUE,float
FangraphsDataTable.fetch,SD,TRUE,int
FangraphsDataTable.fetch,MD,TRUE,int
FangraphsDataTable.fetch,ERA-,TRUE,int
FangraphsDataTable.fetch,FIP-,TRUE,int
FangraphsDataTable.fetch,xFIP-,TRUE,float
FangraphsDataTable.fetch,K%,TRUE,float
FangraphsDataTable.fetch,BB%,TRUE,float
FangraphsDataTable.fetch,SIERA,TRUE,float
FangraphsDataTable.fetch,RS/9,TRUE,float
FangraphsDataTable.fetch,E-F,TRUE,float
FangraphsDataTable.fetch,FA% (sc),TRUE,float
FangraphsDataTable.fetch,FT% (sc),TRUE,float
FangraphsDataTable.fetch,FC% (sc),TRUE,float
FangraphsDataTable.fetch,FS% (sc),TRUE,float
FangraphsDataTable.fetch,FO% (sc),TRUE,float
FangraphsDataTable.fetch,SI% (sc),TRUE,float
FangraphsDataTable.fetch,SL% (sc),TRUE,float
FangraphsDataTable.fetch,CU% (sc),TRUE,float
FangraphsDataTable.fetch,KC% (sc),TRUE,float
FangraphsDataTable.fetch,EP% (sc),TRUE,float
FangraphsDataTable.fetch,CH% (sc),TRUE,float
FangraphsDataTable.fetch,SC% (sc),TRUE,float
FangraphsDataTable.fetch,KN% (sc),TRUE,float
FangraphsDataTable.fetch,UN% (sc),TRUE,float
FangraphsDataTable.fetch,vFA (sc),TRUE,float
FangraphsDataTable.fetch,vFT (sc),TRUE,float
FangraphsDataTable.fetch,vFC (sc),TRUE,float
FangraphsDataTable.fetch,vFS (sc),TRUE,float
FangraphsDataTable.fetch,vFO (sc),TRUE,float
FangraphsDataTable.fetch,vSI (sc),TRUE,float
FangraphsDataTable.fetch,vSL (sc),TRUE,float
FangraphsDataTable.fetch,vCU (sc),TRUE,float
FangraphsDataTable.fetch,vKC (sc),TRUE,float
FangraphsDataTable.fetch,vEP (sc),TRUE,float
FangraphsDataTable.fetch,vCH (sc),TRUE,float
FangraphsDataTable.fetch,vSC (sc),TRUE,float
FangraphsDataTable.fetch,vKN (sc),TRUE,float
FangraphsDataTable.fetch,FA-X (sc),TRUE,float
FangraphsDataTable.fetch,FT-X (sc),TRUE,float
FangraphsDataTable.fetch,FC-X (sc),TRUE,float
FangraphsDataTable.fetch,FS-X (sc),TRUE,float
FangraphsDataTable.fetch,FO-X (sc),TRUE,float
FangraphsDataTable.fetch,SI-X (sc),TRUE,float
FangraphsDataTable.fetch,SL-X (sc),TRUE,float
FangraphsDataTable.fetch,CU-X (sc),TRUE,float
FangraphsDataTable.fetch,KC-X (sc),TRUE,float
FangraphsDataTable.fetch,EP-X (sc),TRUE,float
FangraphsDataTable.fetch,CH-X (sc),TRUE,float
FangraphsDataTable.fetch,SC-X (sc),TRUE,float
FangraphsDataTable.fetch,KN-X (sc),TRUE,float
FangraphsDataTable.fetch,FA-Z (sc),TRUE,float
FangraphsDataTable.fetch,FT-Z (sc),TRUE,float
FangraphsDataTable.fetch,FC-Z (sc),TRUE,float
FangraphsDataTable.fetch,FS-Z (sc),TRUE,float
FangraphsDataTable.fetch,FO-Z (sc),TRUE,float
FangraphsDataTable.fetch,SI-Z (sc),TRUE,float
FangraphsDataTable.fetch,SL-Z (sc),TRUE,float
FangraphsDataTable.fetch,CU-Z (sc),TRUE,float
FangraphsDataTable.fetch,KC-Z (sc),TRUE,float
FangraphsDataTable.fetch,EP-Z (sc),TRUE,float
FangraphsDataTable.fetch,CH-Z (sc),TRUE,float
FangraphsDataTable.fetch,SC-Z (sc),TRUE,float
FangraphsDataTable.fetch,KN-Z (sc),TRUE,float
FangraphsDataTable.fetch,wFA (sc),TRUE,float
FangraphsDataTable.fetch,wFT (sc),TRUE,float
FangraphsDataTable.fetch,wFC (sc),TRUE,float
FangraphsDataTable.fetch,wFS (sc),TRUE,float
FangraphsDataTable.fetch,wFO (sc),TRUE,float
FangraphsDataTable.fetch,wSI (sc),TRUE,float
FangraphsDataTable.fetch,wSL (sc),TRUE,float
FangraphsDataTable.fetch,wCU (sc),TRUE,float
FangraphsDataTable.fetch,wKC (sc),TRUE,float
FangraphsDataTable.fetch,wEP (sc),TRUE,float
FangraphsDataTable.fetch,wCH (sc),TRUE,float
FangraphsDataTable.fetch,wSC (sc),TRUE,float
FangraphsDataTable.fetch,wKN (sc),TRUE,float
FangraphsDataTable.fetch,wFA/C (sc),TRUE,float
FangraphsDataTable.fetch,wFT/C (sc),TRUE,float
FangraphsDataTable.fetch,wFC/C (sc),TRUE,float
FangraphsDataTable.fetch,wFS/C (sc),TRUE,float
FangraphsDataTable.fetch,wFO/C (sc),TRUE,float
FangraphsDataTable.fetch,wSI/C (sc),TRUE,float
FangraphsDataTable.fetch,wSL/C (sc),TRUE,float
FangraphsDataTable.fetch,wCU/C (sc),TRUE,float
FangraphsDataTable.fetch,wKC/C (sc),TRUE,float
FangraphsDataTable.fetch,wEP/C (sc),TRUE,float
FangraphsDataTable.fetch,wCH/C (sc),TRUE,float
FangraphsDataTable.fetch,wSC/C (sc),TRUE,float
FangraphsDataTable.fetch,wKN/C (sc),TRUE,float
FangraphsDataTable.fetch,O-Swing% (sc),TRUE,float
FangraphsDataTable.fetch,Z-Swing% (sc),TRUE,float
FangraphsDataTable.fetch,Swing% (sc),TRUE,float
FangraphsDataTable.fetch,O-Contact% (sc),TRUE,float
FangraphsDataTable.fetch,Z-Contact% (sc),TRUE,float
FangraphsDataTable.fetch,Contact% (sc),TRUE,float
FangraphsDataTable.fetch,Zone% (sc),TRUE,float
FangraphsDataTable.fetch,Pace,TRUE,float
FangraphsDataTable.fetch,RA9-WAR,TRUE,float
FangraphsDataTable.fetch,BIP-Wins,TRUE,float
FangraphsDataTable.fetch,LOB-Wins,TRUE,float
FangraphsDataTable.fetch,FDP-Wins,TRUE,float
FangraphsDataTable.fetch,Age Rng,TRUE,str
FangraphsDataTable.fetch,K-BB%,TRUE,float
FangraphsDataTable.fetch,Pull%,TRUE,float
FangraphsDataTable.fetch,Cent%,TRUE,float
FangraphsDataTable.fetch,Oppo%,TRUE,float
FangraphsDataTable.fetch,Soft%,TRUE,float
FangraphsDataTable.fetch,Med%,TRUE,float
FangraphsDataTable.fetch,Hard%,TRUE,float
FangraphsDataTable.fetch,kwERA,TRUE,float
FangraphsDataTable.fetch,TTO%,TRUE,float
FangraphsDataTable.fetch,CH% (pi),TRUE,float
FangraphsDataTable.fetch,CS% (pi),TRUE,float
FangraphsDataTable.fetch,CU% (pi),TRUE,float
FangraphsDataTable.fetch,FA% (pi),TRUE,float
FangraphsDataTable.fetch,FC% (pi),TRUE,float
FangraphsDataTable.fetch,FS% (pi),TRUE,float
FangraphsDataTable.fetch,KN% (pi),TRUE,float
FangraphsDataTable.fetch,SB% (pi),TRUE,float
FangraphsDataTable.fetch,SI% (pi),TRUE,float
FangraphsDataTable.fetch,SL% (pi),TRUE,float
FangraphsDataTable.fetch,XX% (pi),TRUE,float
FangraphsDataTable.fetch,vCH (pi),TRUE,float
FangraphsDataTable.fetch,vCS (pi),TRUE,float
FangraphsDataTable.fetch,vCU (pi),TRUE,float
FangraphsDataTable.fetch,vFA (pi),TRUE,float
FangraphsDataTable.fetch,vFC (pi),TRUE,float
FangraphsDataTable.fetch,vFS (pi),TRUE,float
FangraphsDataTable.fetch,vKN (pi),TRUE,float
FangraphsDataTable.fetch,vSB (pi),TRUE,float
FangraphsDataTable.fetch,vSI (pi),TRUE,float
FangraphsDataTable.fetch,vSL (pi),TRUE,float
FangraphsDataTable.fetch,vXX (pi),TRUE,float
FangraphsDataTable.fetch,CH-X (pi),TRUE,float
FangraphsDataTable.fetch,CS-X (pi),TRUE,float
FangraphsDataTable.fetch,CU-X (pi),TRUE,float
FangraphsDataTable.fetch,FA-X (pi),TRUE,float
FangraphsDataTable.fetch,FC-X (pi),TRUE,float
FangraphsDataTable.fetch,FS-X (pi),TRUE,float
FangraphsDataTable.fetch,KN-X (pi),TRUE,float
FangraphsDataTable.fetch,SB-X (pi),TRUE,float
FangraphsDataTable.fetch,SI-X (pi),TRUE,float
FangraphsDataTable.fetch,SL-X (pi),TRUE,float
FangraphsDataTable.fetch,XX-X (pi),TRUE,float
FangraphsDataTable.fetch,CH-Z (pi),TRUE,float
FangraphsDataTable.fetch,CS-Z (pi),TRUE,float
FangraphsDataTable.fetch,CU-Z (pi),TRUE,float
FangraphsDataTable.fetch,FA-Z (pi),TRUE,float
FangraphsDataTable.fetch,FC-Z (pi),TRUE,float
FangraphsDataTable.fetch,FS-Z (pi),TRUE,float
FangraphsDataTable.fetch,KN-Z (pi),TRUE,float
FangraphsDataTable.fetch,SB-Z (pi),TRUE,float
FangraphsDataTable.fetch,SI-Z (pi),TRUE,float
FangraphsDataTable.fetch,SL-Z (pi),TRUE,float
FangraphsDataTable.fetch,XX-Z (pi),TRUE,float
FangraphsDataTable.fetch,wCH (pi),TRUE,float
FangraphsDataTable.fetch,wCS (pi),TRUE,float
FangraphsDataTable.fetch,wCU (pi),TRUE,float
FangraphsDataTable.fetch,wFA (pi),TRUE,float
